ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,LandSize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID335229963,612 Riversdale Rd,CAMBERWELL,2750000.0,h,28/05/2016,4,3.0,1.0,0.0,107.0,-37.8325,145.0649,19852,431.70280917946764,22.75,0,3703.6666666666665,18944.0,2039.3333333333333,Camberwell Primary School,602.7686764803644,35,Camberwell High School,743.8895568843433,112
ID704983335,44 Garton St,PORT MELBOURNE,2455000.0,t,26/08/2017,4,3.0,2.0,123.0,9.0,-37.83349000000001,144.9484,20043,1725.634031163492,0.0,0,705.3333333333334,5479.666666666667,335.0,Galilee Regional Catholic Primary School,637.091562675002,208,Albert Park College,1261.4044568400395,131
ID346316365,316/145 Roden St,WEST MELBOURNE,295000.0,u,29/04/2017,1,1.0,1.0,0.0,6.0,-37.8084,144.9473,22239,559.8483259412519,7.0,0,647.0,2861.3333333333335,222.66666666666666,North Melbourne Primary School,1115.4098579107588,182,Simonds Catholic College,560.5456224830734,262
ID767675718,3 Dunster Ct,ENDEAVOUR HILLS,1015000.0,h,29/07/2017,5,2.0,2.0,836.0,27.0,-37.98873,145.27019,19885,3229.5549457079287,54.083333333333336,0,121.0,242.0,42.333333333333336,Southern Cross Primary School,509.9184129810029,not ranked,Hallam Senior Secondary College,1501.0503022787161,525
ID818887509,12a View St,CANTERBURY,1850000.0,h,26/07/2016,3,2.0,2.0,361.0,24.0,-37.8206,145.0785,19893,494.395350172975,23.76923076923077,0,3703.6666666666665,18944.0,2039.3333333333333,Fintona Girls' School,626.7073081049721,5,Fintona Girls' School,626.7073081049721,not ranked
ID970647492,9 Berkeley Gr,BRIGHTON EAST,2515000.0,h,3/09/2017,4,2.0,2.0,583.0,94.0,-37.90953,145.0155,19952,1244.9121540926046,24.5,0,2897.3333333333335,11243.0,942.0,Gardenvale Primary School,541.5481127603001,138,Brighton Secondary College,1224.8097714621256,213
ID495773625,53 Ronald St,COBURG NORTH,735000.0,h,4/03/2017,3,1.0,1.0,427.0,9.0,-37.7303,144.9773,19964,1322.579586395946,34.0,0,1097.6666666666667,5916.0,553.3333333333334,Newlands Primary School,711.4102212798689,not ranked,Mercy College,1121.5147134181545,349
ID726378287,16 Tashinny Rd,TOORAK,1689000.0,h,4/03/2017,3,1.0,0.0,222.0,99.0,-37.8448,145.0055,19947,296.09486043673826,16.214285714285715,0,647.0,2861.3333333333335,222.66666666666666,Toorak Primary School,388.7855848876033,83,Loreto Mandeville Hall,907.8751142462156,15
ID897596584,10 Cowper St,ESSENDON NORTH,1291000.0,h,8/04/2017,4,2.0,2.0,521.0,74.0,-37.7372,144.9022,20036,1990.5893964337556,27.0,0,330.3333333333333,1855.0,82.0,Essendon North Primary School,488.3320323239555,261,Buckley Park College,1171.2232040824642,123
ID511585267,10 Barilla Rd,MOORABBIN,935000.0,t,15/07/2017,3,2.0,2.0,280.0,34.0,-37.94111,145.0431,19872,821.3920082954115,40.166666666666664,0,84.33333333333333,293.3333333333333,23.0,Moorabbin Primary School,324.61283176591684,237,Our Lady of the Sacred Heart College,1735.1327096901286,not ranked
ID226280635,5/19 Livingstone St,IVANHOE,690000.0,u,15/10/2016,2,1.0,1.0,103.0,49.0,-37.7671,145.0408,19933,453.48673454242424,26.058823529411764,0,555.6666666666666,1129.0,160.66666666666666,Ivanhoe Primary School,200.60347766991777,100,Ivanhoe Girls' Grammar School,559.3216408920641,49
ID983796157,7 Caddy Ct,RESERVOIR,585000.0,h,13/08/2016,3,1.0,3.0,620.0,7.0,-37.7293,145.032,20011,2575.192023737708,31.2,0,824.6666666666666,1890.3333333333333,159.33333333333334,Preston North East Primary School,473.96692015090946,not ranked,East Preston Islamic College,637.44700624423,491
ID695841364,18 Claude St,NORTHCOTE,1035000.0,h,4/03/2017,2,1.0,0.0,140.0,99.0,-37.7709,144.9964,20016,151.74166730626848,21.3,0,142.0,344.6666666666667,39.333333333333336,Northcote Primary School,104.43209607591606,285,Santa Maria College,538.4120953605063,137
ID326551230,3 Lovely St,FAWKNER,670000.0,h,3/12/2016,3,1.0,3.0,587.0,69.0,-37.7007,144.9632,19961,380.9956347153,39.0,0,1144.3333333333333,6845.666666666667,375.6666666666667,St Matthew's School,505.2743050985424,not ranked,John Fawkner Secondary College,794.7815448604919,not ranked
ID375885674,134 John St,GLENROY,575500.0,h,8/10/2016,3,1.0,1.0,701.0,69.0,-37.6953,144.9397,19961,1791.8247560343525,39.0,0,1683.6666666666667,8938.666666666666,509.3333333333333,Belle Vue Park Primary School,755.1994826746486,not ranked,Glenroy Private,959.6609338243658,not ranked
ID782461149,13 Gowanbrae Dr,GOWANBRAE,970000.0,h,29/04/2017,4,2.0,3.0,737.0,9.0,-37.7088,144.8938,20032,2116.508733522485,36.0,0,1841.6666666666667,9184.666666666666,533.3333333333334,Glenroy West Primary School,1346.1592208688837,not ranked,Gladstone Park Secondary College,2145.0403717448944,290
ID166791454,33a Clara St,SOUTH YARRA,1500000.0,h,12/06/2016,2,1.0,2.0,141.0,49.0,-37.8408,144.9977,19959,538.8103414928015,12.543859649122806,0,1100.6666666666667,3636.3333333333335,457.3333333333333,South Yarra Primary School,1063.8091152502566,44,Melbourne High School,489.2826348494278,2
ID759152746,17 Vicars St,BALWYN NORTH,1951000.0,h,3/09/2017,5,3.0,3.0,711.0,59.0,-37.79066,145.09004,19896,3479.983738013812,28.785714285714285,0,959.0,4476.666666666667,324.0,Boroondara Park Primary School,232.82286107730195,192,Balwyn High School,1415.736443588929,44
ID680593610,4 Ryan Gr,BLACKBURN SOUTH,1258000.0,h,27/05/2017,4,1.0,2.0,769.0,39.0,-37.83998,145.15198,19898,2222.97413996023,30.307692307692307,0,990.0,3070.0,411.0,Orchard Grove Primary School,480.0925062942373,137,Forest Hill College,1403.5693258116708,409
ID840336260,3/4 Combermere St,ABERFELDIE,470000.0,h,8/04/2017,2,1.0,1.0,70.0,39.0,-37.7564,144.9043,22253,1047.9895316363143,18.333333333333332,0,817.6666666666666,1779.6666666666667,181.0,Resurrection House,83.4661904602738,329,Ave Maria College,558.1561499473946,111
ID155164453,76 Kidman St,YARRAVILLE,670000.0,h,27/06/2016,3,1.0,1.0,463.0,69.0,-37.8137,144.8636,20022,1609.4634982942036,21.4,0,703.6666666666666,1502.0,135.66666666666666,Kingsville Primary School,980.1250701709159,451,Emmanuel College,2731.147311870812,180
ID605812758,4/505 St Kilda St,ELWOOD,710000.0,t,29/07/2017,2,1.0,1.0,0.0,39.0,-37.88465,144.99177,19954,802.0279487411957,21.5,0,1666.0,9333.666666666666,523.0,Elwood Primary School,460.5575973218049,309,Elwood College,632.5828139003198,175
ID899425093,34 Thorpe St,NEWPORT,1330000.0,h,1/07/2017,3,1.0,3.0,758.0,8.0,-37.84522,144.86516,19994,1644.7288571887943,16.310344827586206,0,84.33333333333333,293.3333333333333,23.0,Newport Gardens Primary School,322.785428984939,411,Bayside P-12 College,2244.3183498276985,243
ID830244200,1/41 Morang Rd,HAWTHORN,450000.0,u,11/03/2017,1,1.0,1.0,0.0,49.0,-37.8237,145.0242,19905,237.93003319142178,13.952380952380953,1,1173.6666666666667,8523.666666666666,974.6666666666666,Hawthorn West Primary School,649.3810225480149,125,Melbourne Girls College,877.6256586282743,not ranked
ID822869456,66 Union Rd,SURREY HILLS,2290000.0,h,12/08/2017,4,2.0,2.0,910.0,3.0,-37.82933,145.09642,19895,612.8685347726495,25.5,0,2532.3333333333335,5455.0,713.0,Surrey Hills Primary School,577.8626623092363,141,Siena College Ltd,1309.2949607743215,not ranked
