"confirmed","deaths","recovered","newcase","date","infection_rate","recovery_rate"
22675329,793684,14541573,267117,2020-08-20,0.0117800716364468,0.641294906900799
22946050,799224,14712252,270721,2020-08-21,0.0117981526232184,0.641167085402498
23200598,804387,14911325,254548,2020-08-22,0.0109716137489215,0.642712959381478
23417506,808648,15137610,216908,2020-08-23,0.00926264308419522,0.646422808645805
23643854,812998,15337659,226348,2020-08-24,0.00957322778257724,0.648695386124445
23885885,819396,15570598,242031,2020-08-25,0.0101328043737965,0.65187444383995
24173746,825680,15794947,287861,2020-08-26,0.0119080013498942,0.653392610313685
24452944,831566,15996510,279198,2020-08-27,0.0114177663024951,0.654175219147437
24734448,837080,16196934,281504,2020-08-28,0.0113810504281316,0.654833049033477
24996456,842452,16408559,262008,2020-08-29,0.0104818059008045,0.656435416284613
25222709,846353,16616995,226253,2020-08-30,0.00897021013880785,0.658810875548697
25484767,850535,16818436,262058,2020-08-31,0.01028292705207,0.659940740286148
25749642,857015,17073236,264875,2020-09-01,0.010286550780007,0.663047509553725
26031410,863028,17291874,281768,2020-09-02,0.0108241543581389,0.664269588162915
26304856,868733,17512585,273446,2020-09-03,0.0103952669423471,0.665754832491765
26609482,874369,17717266,304626,2020-09-04,0.0114480244297878,0.665825287391915
26873146,879307,17917644,263664,2020-09-05,0.00981143034016188,0.666749028937661
27103845,883339,18137310,230699,2020-09-06,0.00851167057662852,0.669178487406492
